EntityID,AttributeID,Value,TimePeriod
12343,tender,tender:1797,2022-09
2706,item,item:54570,2022-12
16193,item,item:3480,2022-08
8943,tender,tender:216,2021-12
17932,tender,tender:453,2022-01
5508,buyer,buyer:16989,2022-06
3286,item,item:10428,2022-06
19547,buyer,buyer:635,2022-06
7637,item,item:24455,2022-02
7522,tender,tender:2720,2023-02
16584,buyer,buyer:3407,2023-01
2164,buyer,buyer:6803,2021-11
6321,buyer,buyer:27692,2023-02
10274,item,item:12743,2023-06
10398,tender,tender:2467,2023-01
10215,item,item:27495,2022-10
15482,buyer,buyer:25476,2022-08
15114,item,item:9125,2022-08
14932,buyer,buyer:33727,2022-04
16113,item,item:13138,2023-05
10462,item,item:45,2023-05
6032,buyer,buyer:19008,2022-04
7793,tender,tender:1289,2022-06
11960,tender,tender:97,2021-11
19932,buyer,buyer:22222,2023-05
14465,tender,tender:2845,2023-03
15164,item,item:53086,2021-11
11452,tender,tender:386,2022-01
5825,item,item:12361,2022-06
17953,buyer,buyer:22517,2023-04
14388,tender,tender:2642,2023-02
4696,buyer,buyer:14804,2022-10
17693,item,item:3236,2023-01
12243,buyer,buyer:33418,2023-05
19384,item,item:55457,2021-11
11060,item,item:31472,2023-01
15764,item,item:10253,2023-02
10252,buyer,buyer:23381,2023-03
19758,item,item:43205,2023-06
8591,item,item:12161,2022-03
14126,item,item:34382,2022-02
735,item,item:2317,2023-03
15682,buyer,buyer:35908,2023-04
11172,item,item:35365,2022-03
14832,buyer,buyer:46874,2022-02
480,tender,tender:567,2022-02
13420,item,item:792,2022-12
6947,item,item:27327,2022-06
11961,item,item:7194,2022-01
3966,tender,tender:242,2021-12
19313,item,item:10689,2022-11
15889,tender,tender:561,2022-02
11604,item,item:10694,2022-09
19106,tender,tender:2863,2023-03
3826,tender,tender:2190,2022-11
3880,tender,tender:933,2022-04
1368,item,item:3635,2022-03
5646,item,item:5896,2022-08
15321,item,item:23489,2022-05
10841,buyer,buyer:33822,2022-04
11428,buyer,buyer:41269,2022-07
3644,buyer,buyer:11111,2023-04
3616,tender,tender:32,2021-11
17638,buyer,buyer:45322,2023-05
5188,item,item:9367,2022-05
10714,tender,tender:422,2022-01
15922,item,item:8511,2022-03
5901,buyer,buyer:19198,2022-06
13149,buyer,buyer:67200,2021-12
14644,buyer,buyer:46568,2021-11
17376,tender,tender:2670,2023-02
3665,buyer,buyer:5693,2022-07
9301,buyer,buyer:64428,2022-12
2112,buyer,buyer:47855,2022-07
8850,item,item:3153,2023-03
13974,tender,tender:2001,2022-10
727,item,item:63905,2022-05
16554,tender,tender:3336,2023-06
18576,buyer,buyer:59123,2022-01
17944,buyer,buyer:25171,2023-01
17618,item,item:1348,2023-02
13886,item,item:44491,2022-02
15809,tender,tender:1313,2022-06
6468,tender,tender:2121,2022-11
6183,tender,tender:1235,2022-06
12610,buyer,buyer:27889,2021-11
5116,buyer,buyer:17008,2022-01
15820,buyer,buyer:17306,2023-01
9691,item,item:31280,2021-11
14745,item,item:30907,2023-01
8310,buyer,buyer:2118,2022-11
13028,buyer,buyer:12317,2022-07
2779,buyer,buyer:17969,2022-04
17469,buyer,buyer:29423,2022-06
16048,tender,tender:3371,2023-06
8935,item,item:28958,2021-11
335,tender,tender:2671,2023-02
17414,item,item:63868,2023-03
4694,buyer,buyer:14906,2023-01
5083,tender,tender:587,2022-02
15278,item,item:1160,2021-11
16898,buyer,buyer:43319,2023-02
7257,buyer,buyer:22384,2023-03
13882,item,item:40479,2022-03
15669,buyer,buyer:49843,2021-11
8282,tender,tender:2688,2023-02
10069,item,item:67101,2021-12
19883,item,item:8922,2022-06
14964,buyer,buyer:47571,2021-12
2061,item,item:5822,2022-01
14368,buyer,buyer:25770,2022-03
14411,buyer,buyer:31826,2023-06
10197,buyer,buyer:5920,2023-02
15319,item,item:3501,2023-06
19708,item,item:6497,2023-04
14608,tender,tender:2815,2023-03
17773,item,item:29562,2022-08
18908,tender,tender:3370,2023-06
7688,item,item:15104,2022-09
11648,item,item:23539,2021-11
3421,item,item:3843,2022-05
6295,tender,tender:626,2022-02
16762,item,item:65315,2023-06
11212,tender,tender:1166,2022-05
13052,item,item:9073,2022-12
1498,buyer,buyer:4816,2022-04
16540,item,item:1092,2022-11
3833,item,item:5166,2022-02
11942,buyer,buyer:6576,2022-09
10573,tender,tender:1476,2022-07
10564,tender,tender:270,2021-12
4971,tender,tender:1313,2022-06
10239,tender,tender:1993,2022-10
15840,item,item:50854,2022-11
19381,tender,tender:2835,2023-03
5986,item,item:1698,2022-07
5315,buyer,buyer:3588,2022-07
14238,tender,tender:1474,2022-07
4527,tender,tender:256,2021-12
18492,buyer,buyer:74,2023-01
2579,item,item:7585,2022-12
2043,item,item:6428,2023-04
140,tender,tender:720,2022-03
1979,tender,tender:1830,2022-09
4116,item,item:13274,2022-04
4091,tender,tender:3224,2023-05
17814,buyer,buyer:4228,2023-06
7868,tender,tender:2159,2022-11
10609,item,item:4314,2022-12
18541,item,item:3659,2023-03
18082,tender,tender:197,2021-12
17228,tender,tender:2351,2022-12
41,tender,tender:1098,2022-05
12093,buyer,buyer:19163,2022-12
3312,buyer,buyer:3499,2023-01
3170,item,item:10753,2021-11
19449,tender,tender:420,2022-01
19976,item,item:14475,2023-06
19691,item,item:61649,2022-07
9926,tender,tender:248,2021-12
19433,buyer,buyer:23079,2022-07
3107,item,item:6708,2022-02
1713,buyer,buyer:1198,2023-04
6037,buyer,buyer:10386,2022-05
6928,buyer,buyer:21478,2021-12
7662,buyer,buyer:1261,2023-06
13625,buyer,buyer:43270,2022-11
8596,tender,tender:2824,2023-03
15535,item,item:15157,2023-02
19307,tender,tender:3317,2023-06
1379,tender,tender:1408,2022-07
10386,item,item:46,2023-01
7474,buyer,buyer:23482,2021-11
5675,item,item:40853,2023-02
4885,buyer,buyer:6582,2022-01
17811,tender,tender:2348,2022-12
5041,tender,tender:579,2022-02
17547,item,item:3104,2022-12
19499,item,item:16508,2023-04
1819,item,item:23116,2022-05
19095,buyer,buyer:35947,2022-09
5193,tender,tender:593,2022-02
1933,item,item:3073,2022-09
5922,tender,tender:2,2021-11
6814,item,item:21873,2022-05
4772,item,item:9977,2022-07
12471,tender,tender:2715,2023-02
12153,item,item:9377,2022-03
13401,tender,tender:39,2021-11
14140,buyer,buyer:13057,2023-05
19436,tender,tender:1973,2022-10
17283,tender,tender:3194,2023-05
8643,item,item:55232,2022-06
18744,buyer,buyer:60481,2023-01
18124,buyer,buyer:4509,2022-12
17696,tender,tender:1092,2022-05
12765,item,item:40937,2022-02
15049,tender,tender:2502,2023-01
11128,tender,tender:989,2022-04
543,buyer,buyer:18285,2023-03
14997,tender,tender:1483,2022-07
10519,buyer,buyer:32846,2022-08
577,tender,tender:3358,2023-06
3398,tender,tender:2168,2022-11
9195,buyer,buyer:13928,2022-07
7925,buyer,buyer:608,2022-02
1691,buyer,buyer:5402,2021-11
11504,item,item:52843,2022-03
12249,item,item:16717,2022-12
16940,tender,tender:1673,2022-08
19961,tender,tender:2705,2023-02
8436,item,item:26903,2022-03
5397,tender,tender:225,2021-12
19774,tender,tender:3045,2023-04
5299,tender,tender:23,2021-11
904,buyer,buyer:2670,2022-06
8621,buyer,buyer:26974,2022-06
1325,buyer,buyer:59654,2023-02
14072,buyer,buyer:388,2021-12
6056,buyer,buyer:15660,2022-12
1502,item,item:4596,2022-03
16213,tender,tender:2870,2023-03
1710,tender,tender:1415,2022-07
13777,item,item:66677,2023-04
17171,buyer,buyer:1335,2023-03
19134,item,item:64367,2022-02
12670,buyer,buyer:37295,2023-05
4802,item,item:15880,2022-02
12974,item,item:1837,2022-12
19998,tender,tender:1124,2022-05
13805,buyer,buyer:4445,2023-05
5135,tender,tender:911,2022-04
6837,tender,tender:3355,2023-06
11760,tender,tender:3065,2023-04
14818,item,item:22020,2022-01
15019,item,item:6690,2022-11
10159,item,item:65075,2023-06
17441,item,item:21395,2022-08
6344,item,item:20381,2021-11
7005,item,item:8609,2022-04
5896,item,item:12049,2022-06
10561,tender,tender:3389,2023-06
16912,item,item:7942,2022-05
8674,buyer,buyer:90,2022-04
19857,buyer,buyer:36280,2023-03
11145,buyer,buyer:5021,2022-07
14333,item,item:13384,2022-08
7274,buyer,buyer:22935,2022-10
6237,buyer,buyer:2556,2022-04
18729,tender,tender:3368,2023-06
16315,buyer,buyer:11982,2023-01
6997,buyer,buyer:62070,2022-02
12133,item,item:8946,2022-09
3000,buyer,buyer:9396,2023-03
15694,tender,tender:2816,2023-03
7535,buyer,buyer:19174,2022-01
8575,buyer,buyer:1125,2023-02
2052,tender,tender:1578,2022-08
17907,tender,tender:2852,2023-03
19884,buyer,buyer:8430,2023-05
18350,item,item:14080,2023-05
12005,item,item:4889,2023-04
2598,item,item:7979,2022-09
2665,buyer,buyer:20452,2022-04
5551,buyer,buyer:42678,2022-12
1541,item,item:19251,2022-06
7632,item,item:23303,2022-04
2613,buyer,buyer:8238,2022-07
231,buyer,buyer:92,2022-06
3412,item,item:11042,2022-05
12311,tender,tender:612,2022-02
14942,tender,tender:2748,2023-02
8170,tender,tender:592,2022-02
6181,item,item:20258,2021-12
15071,tender,tender:3353,2023-06
14741,buyer,buyer:4398,2022-05
7038,buyer,buyer:68912,2023-06
19371,tender,tender:3188,2023-05
8021,tender,tender:228,2021-12
4971,buyer,buyer:15079,2022-03
3369,tender,tender:2469,2023-01
9248,item,item:65039,2022-03
8673,buyer,buyer:2006,2021-11
3002,item,item:9142,2022-12
16143,tender,tender:2353,2022-12
1477,item,item:3213,2022-06
16144,tender,tender:2628,2023-02
14643,item,item:16317,2023-01
17536,item,item:48136,2023-01
19822,buyer,buyer:31302,2022-04
8233,buyer,buyer:55692,2022-02
13149,item,item:24077,2023-03
8615,tender,tender:562,2022-02
16933,buyer,buyer:2264,2022-07
3573,item,item:11195,2022-12
17373,buyer,buyer:2747,2022-12
16034,buyer,buyer:50988,2021-12
11194,item,item:35858,2021-11
9965,tender,tender:2356,2022-12
7880,item,item:63913,2023-03
11682,item,item:27050,2022-01
18676,item,item:2534,2023-05
19722,tender,tender:3223,2023-05
14594,buyer,buyer:35806,2023-02
14522,tender,tender:3018,2023-04
14483,tender,tender:1271,2022-06
2061,tender,tender:1060,2022-05
8186,buyer,buyer:25799,2021-11
19816,tender,tender:2640,2023-02
16997,buyer,buyer:56311,2023-06
18903,tender,tender:3028,2023-04
10359,tender,tender:569,2022-02
1833,item,item:5948,2021-12
2117,tender,tender:212,2021-12
5090,tender,tender:2690,2023-02
10871,item,item:13447,2022-07
10835,buyer,buyer:39942,2022-04
17946,tender,tender:1072,2022-05
18908,buyer,buyer:65204,2023-03
11537,buyer,buyer:30559,2023-04
14233,tender,tender:2061,2022-10
12025,tender,tender:3211,2023-05
3474,item,item:42773,2022-02
14787,tender,tender:2444,2023-01
2940,tender,tender:1780,2022-09
2435,item,item:1591,2022-04
780,item,item:2977,2021-12
16906,buyer,buyer:146,2022-12
11423,item,item:37223,2021-12
2701,tender,tender:1855,2022-09
4149,item,item:13840,2022-09
3190,item,item:39866,2022-10
14805,buyer,buyer:12800,2023-03
16598,tender,tender:2357,2022-12
13988,buyer,buyer:44398,2022-04
11862,item,item:38073,2021-11
15368,item,item:5384,2022-03
263,buyer,buyer:21959,2022-07
19861,item,item:19480,2022-12
6290,tender,tender:611,2022-02
17161,buyer,buyer:51355,2021-11
3816,item,item:10987,2023-05
16083,item,item:45500,2023-06
397,item,item:63907,2021-12
16402,tender,tender:1805,2022-09
8583,buyer,buyer:1939,2022-12
731,tender,tender:1595,2022-08
18095,item,item:4000,2022-08
9441,item,item:7838,2023-05
9156,item,item:29182,2022-02
5620,buyer,buyer:22,2022-08
12440,item,item:39215,2021-11
9039,buyer,buyer:49646,2022-05
17047,item,item:11132,2023-03
10775,item,item:34809,2021-11
17905,tender,tender:1089,2022-05
18969,item,item:60491,2021-12
1574,buyer,buyer:63883,2023-05
17823,item,item:20216,2023-03
10872,item,item:20413,2022-02
10574,item,item:20125,2023-03
9754,buyer,buyer:7766,2022-01
19058,tender,tender:3208,2023-05
5222,buyer,buyer:13191,2022-08
8517,item,item:8636,2022-02
6684,item,item:34,2023-06
18415,buyer,buyer:48853,2022-05
18653,buyer,buyer:21873,2023-06
100,tender,tender:188,2021-12
15952,item,item:25670,2022-06
10108,tender,tender:2635,2023-02
18112,buyer,buyer:64089,2023-02
4471,buyer,buyer:7165,2022-03
8006,tender,tender:220,2021-12
13843,buyer,buyer:11121,2021-12
8804,item,item:28021,2022-01
5826,item,item:6069,2023-02
16175,tender,tender:3361,2023-06
8214,item,item:26207,2021-11
2460,tender,tender:25,2021-11
8146,buyer,buyer:1508,2022-01
11028,item,item:35284,2022-04
9683,tender,tender:84,2021-11
2547,buyer,buyer:43400,2023-02
19024,tender,tender:2353,2022-12
4070,item,item:12973,2022-03
3726,tender,tender:2338,2022-12
4252,item,item:10240,2023-01
4314,buyer,buyer:12740,2022-06
12972,buyer,buyer:22092,2022-11
8957,tender,tender:2122,2022-11
14362,buyer,buyer:7500,2022-11
10212,tender,tender:1086,2022-05
12430,tender,tender:2700,2023-02
16919,item,item:54033,2021-11
9972,item,item:21681,2022-09
461,tender,tender:391,2022-01
15818,tender,tender:1282,2022-06
15222,buyer,buyer:64238,2023-05
6246,item,item:14445,2021-12
10839,tender,tender:2877,2023-03
9689,item,item:6918,2022-01
14636,tender,tender:1443,2022-07
12838,buyer,buyer:11531,2023-03
6756,item,item:7841,2023-06
11426,buyer,buyer:7087,2022-08
13348,tender,tender:443,2022-01
13128,buyer,buyer:41404,2022-07
562,buyer,buyer:1735,2021-12
13737,tender,tender:3179,2023-05
5591,tender,tender:2819,2023-03
1123,tender,tender:1415,2022-07
10993,buyer,buyer:20936,2022-07
15107,tender,tender:1051,2022-05
18066,item,item:46231,2022-02
11426,tender,tender:1616,2022-08
974,tender,tender:581,2022-02
17377,item,item:30767,2023-02
9600,tender,tender:287,2021-12
613,item,item:1595,2023-02
13242,buyer,buyer:28422,2023-05
489,buyer,buyer:1298,2023-03
826,tender,tender:2998,2023-04
2671,item,item:48159,2022-04
18130,buyer,buyer:640,2023-02
6173,tender,tender:1825,2022-09
8424,tender,tender:1088,2022-05
15701,item,item:67937,2023-05
14979,tender,tender:3328,2023-06
6952,buyer,buyer:10574,2022-07
18057,buyer,buyer:64878,2022-12
16200,tender,tender:2696,2023-02
11031,buyer,buyer:34646,2023-06
16025,item,item:43359,2022-11
5903,buyer,buyer:2594,2022-08
11166,item,item:64845,2022-08
3354,item,item:26081,2023-04
19368,buyer,buyer:11885,2023-01
18438,tender,tender:567,2022-02
5323,tender,tender:2314,2022-12
2350,buyer,buyer:4461,2022-01
11311,tender,tender:3189,2023-05
2388,item,item:9057,2022-09
9847,tender,tender:606,2022-02
5013,buyer,buyer:16190,2022-03
16244,item,item:11534,2023-04
4394,tender,tender:283,2021-12
4976,item,item:50767,2023-06
57,tender,tender:595,2022-02
4460,item,item:6074,2023-03
14310,buyer,buyer:37249,2023-03
17410,tender,tender:2883,2023-03
17734,buyer,buyer:12355,2022-09
19732,buyer,buyer:62865,2022-09
14199,tender,tender:2623,2023-02
5720,tender,tender:1078,2022-05
4798,tender,tender:2684,2023-02
2200,tender,tender:1420,2022-07
17869,tender,tender:1499,2022-07
14323,item,item:7303,2023-01
14674,item,item:64075,2022-02
14770,tender,tender:1434,2022-07
3266,buyer,buyer:10003,2022-01
13339,buyer,buyer:37390,2022-09
12309,item,item:63829,2023-02
13895,item,item:4825,2021-11
747,tender,tender:930,2022-04
1073,tender,tender:1237,2022-06
3493,tender,tender:200,2021-12
10366,tender,tender:2998,2023-04
10008,buyer,buyer:2296,2022-05
15382,buyer,buyer:3584,2023-05
1975,item,item:6386,2022-04
11688,buyer,buyer:48465,2022-09
15525,item,item:67055,2023-06
7285,buyer,buyer:64995,2023-05
17871,buyer,buyer:14207,2022-02
7702,tender,tender:26,2021-11
7800,buyer,buyer:2368,2022-05
19762,tender,tender:1670,2022-08
10905,tender,tender:374,2022-01
11105,item,item:57140,2023-06
15463,tender,tender:2524,2023-01
4281,item,item:52269,2021-11
12412,item,item:39719,2022-12
10652,tender,tender:2971,2023-04
19640,item,item:62533,2021-11
13074,tender,tender:2,2021-11
14033,buyer,buyer:67846,2023-06
9637,tender,tender:1777,2022-09
6404,tender,tender:217,2021-12
12772,buyer,buyer:25713,2022-07
1689,item,item:238,2023-05
7978,tender,tender:1057,2022-05
10855,item,item:34739,2022-05
8310,item,item:26093,2022-10
11275,item,item:36098,2022-02
4180,item,item:14661,2023-05
9058,buyer,buyer:30315,2022-06
18900,buyer,buyer:2757,2023-02
9382,buyer,buyer:29592,2022-04
2269,item,item:7001,2022-06
12224,tender,tender:1828,2022-09
6042,buyer,buyer:19035,2021-11
15384,item,item:64541,2022-02
15521,tender,tender:2479,2023-01
16478,tender,tender:2322,2022-12
14277,buyer,buyer:45233,2022-09
10204,buyer,buyer:63782,2022-10
19487,tender,tender:2452,2023-01
2182,item,item:7323,2022-12
16565,buyer,buyer:16860,2022-09
1329,item,item:3626,2021-11
8624,tender,tender:1451,2022-07
1163,tender,tender:1651,2022-08
11206,item,item:36235,2022-09
18994,buyer,buyer:35592,2022-12
19603,tender,tender:2540,2023-01
19277,tender,tender:2475,2023-01
19692,tender,tender:710,2022-03
9869,item,item:31470,2021-11
18979,buyer,buyer:31290,2023-03
6597,tender,tender:66,2021-11
12781,buyer,buyer:48035,2022-05
2430,item,item:8067,2022-06
14412,tender,tender:3215,2023-05
17450,buyer,buyer:10795,2022-07
5366,buyer,buyer:16830,2021-12
1240,item,item:4439,2023-03
9983,buyer,buyer:44055,2022-01
1036,item,item:3253,2021-11
4503,item,item:49763,2022-10
6370,tender,tender:1238,2022-06
6983,tender,tender:83,2021-11
1381,item,item:13184,2022-07
14642,tender,tender:1310,2022-06
10571,buyer,buyer:4448,2022-04
105,tender,tender:2821,2023-03
12834,buyer,buyer:40611,2021-11
2686,buyer,buyer:41478,2022-05
17479,item,item:49462,2022-07
7133,buyer,buyer:36969,2022-10
11355,buyer,buyer:35544,2021-11
16863,buyer,buyer:30786,2023-05
14480,item,item:12151,2022-01
14164,item,item:5403,2022-10
16634,item,item:33274,2022-12
9157,buyer,buyer:2088,2022-12
15823,buyer,buyer:5185,2022-07
13296,buyer,buyer:63729,2022-05
17127,tender,tender:2442,2023-01
17508,buyer,buyer:65766,2023-01
11722,item,item:3856,2022-01
11255,tender,tender:1627,2022-08
2487,item,item:32,2022-03
14007,buyer,buyer:35878,2022-05
18640,tender,tender:2463,2023-01
5985,buyer,buyer:19203,2021-11
8253,item,item:26333,2023-06
18647,buyer,buyer:13166,2023-02
1273,item,item:4154,2021-11
15444,item,item:3018,2022-06
4852,item,item:7368,2022-09
19862,buyer,buyer:63262,2021-11
430,item,item:1149,2022-10
5542,tender,tender:2163,2022-11
4036,tender,tender:2888,2023-03
13899,tender,tender:189,2021-12
9217,tender,tender:234,2021-12
1080,buyer,buyer:3372,2022-02
19704,tender,tender:3404,2023-06
7171,item,item:7477,2022-06
6007,tender,tender:603,2022-02
1291,tender,tender:231,2021-12
6975,buyer,buyer:12511,2023-01
5908,tender,tender:3227,2023-05
18062,tender,tender:32,2021-11
15049,buyer,buyer:8025,2023-02
1565,tender,tender:2645,2023-02
858,item,item:2641,2021-12
9944,item,item:3821,2022-06
10243,tender,tender:1062,2022-05
16824,tender,tender:3164,2023-05
5062,tender,tender:1409,2022-07
7652,item,item:21190,2022-09
10682,item,item:3706,2022-08
18920,item,item:20983,2023-06
6693,tender,tender:28,2021-11
9163,item,item:29001,2021-11
6874,item,item:62519,2021-11
13035,tender,tender:2805,2023-03
18706,item,item:48714,2023-01
17053,tender,tender:2674,2023-02
17225,buyer,buyer:29753,2022-06
8334,item,item:26587,2022-09
12616,tender,tender:1857,2022-09
12483,tender,tender:3009,2023-04
7101,item,item:4580,2022-10
12083,buyer,buyer:21281,2022-04
9217,tender,tender:737,2022-03
15327,item,item:60285,2022-12
10824,item,item:4740,2022-12
2291,item,item:6935,2022-05
5586,buyer,buyer:760,2023-02
17058,buyer,buyer:13685,2023-02
13588,item,item:14614,2022-05
8828,item,item:48911,2022-05
6963,tender,tender:2498,2023-01
780,item,item:56462,2022-03
9716,tender,tender:246,2021-12
12880,tender,tender:2305,2022-12
16253,item,item:59700,2023-05
10037,tender,tender:2346,2022-12
5274,item,item:34806,2023-01
18471,buyer,buyer:6158,2022-09
1366,tender,tender:2334,2022-12
15691,buyer,buyer:7747,2023-05
15549,tender,tender:3141,2023-05
11693,tender,tender:1418,2022-07
9510,buyer,buyer:35524,2022-04
19251,tender,tender:3330,2023-06
17896,tender,tender:2166,2022-11
6519,buyer,buyer:20523,2021-12
2557,item,item:536,2022-10
15605,tender,tender:254,2021-12
5103,item,item:16464,2021-11
5207,item,item:6976,2023-01
14905,item,item:28386,2022-03
7973,tender,tender:3018,2023-04
15741,tender,tender:3344,2023-06
14235,tender,tender:2623,2023-02
14827,item,item:48141,2022-03
19023,tender,tender:237,2021-12
9828,buyer,buyer:20455,2022-07
17769,buyer,buyer:6760,2023-06
11806,tender,tender:782,2022-03
11521,item,item:8251,2023-04
2635,item,item:8495,2022-06
766,tender,tender:1580,2022-08
2955,buyer,buyer:874,2022-01
2856,buyer,buyer:9618,2021-12
9774,tender,tender:2487,2023-01
8671,tender,tender:413,2022-01
2311,item,item:68875,2023-02
19313,buyer,buyer:61513,2023-01
1332,tender,tender:731,2022-03
15592,buyer,buyer:6432,2022-08
18563,buyer,buyer:12777,2023-03
6684,tender,tender:1679,2022-08
6096,buyer,buyer:8524,2023-06
9207,tender,tender:909,2022-04
7350,buyer,buyer:19995,2022-10
10761,item,item:34142,2022-06
5141,tender,tender:1635,2022-08
16463,buyer,buyer:16632,2022-08
14275,item,item:4217,2022-05
17587,tender,tender:1094,2022-05
10794,tender,tender:1460,2022-07
16287,buyer,buyer:51817,2023-02
18365,buyer,buyer:38710,2023-03
18109,item,item:114,2023-06
17356,item,item:9678,2023-02
4608,buyer,buyer:14654,2022-05
1653,tender,tender:1589,2022-08
10184,item,item:33167,2021-11
10174,item,item:51188,2021-11
12876,buyer,buyer:2002,2023-01
2557,buyer,buyer:1998,2022-09
15370,item,item:41730,2022-08
1137,buyer,buyer:3362,2022-02
11937,item,item:64252,2023-03
3249,buyer,buyer:10197,2023-01
6184,item,item:18360,2022-07
15539,item,item:55124,2023-01
1531,item,item:4928,2022-04
5201,buyer,buyer:47495,2023-02
2323,buyer,buyer:874,2022-11
8321,item,item:2879,2022-03
17964,buyer,buyer:58525,2022-09
15926,item,item:14377,2022-01
6996,item,item:823,2022-11
32,tender,tender:2133,2022-11
5006,buyer,buyer:15702,2022-02
14960,tender,tender:2645,2023-02
19891,item,item:11893,2022-09
19488,item,item:19082,2022-08
17585,tender,tender:411,2022-01
7028,item,item:55906,2022-11
6634,tender,tender:2982,2023-04
8251,tender,tender:3018,2023-04
8027,item,item:25653,2021-12
261,tender,tender:1258,2022-06
7147,buyer,buyer:642,2023-03
7212,tender,tender:716,2022-03
16177,tender,tender:2171,2022-11
7394,tender,tender:613,2022-02
11640,item,item:37357,2021-12
3046,item,item:9799,2021-12
4226,buyer,buyer:12945,2022-01
501,buyer,buyer:1533,2022-08
45,item,item:67982,2022-02
8542,tender,tender:928,2022-04
13493,buyer,buyer:2061,2023-05
17987,tender,tender:2024,2022-10
3593,tender,tender:2810,2023-03
14187,buyer,buyer:38657,2023-02
3849,buyer,buyer:1998,2021-11
